id,objectiveId,mentionId,mentionHints,sort,textKo,textEn
sqa_001_a,obj_story_001_a,travel,솔라|항구|도착,1,조금 전 줄기는 솔라 항구야. 목격은 술집이고 증거 본체는 항만사령 기록 쪽에 있어.,The stem is Solar Port. The witness is in the bar. The body of proof is Harbor Command's log.
sqa_001_b,obj_story_001_b,npc_cpt_bar_ret_01,한로|목격|술집|식별 신호,1,한로가 말한 그 얼굴 말이야. 식별 신호를 지운 배가 민간 정박을 스쳤대. 관문 순찰대에 먼저 보고해야 해.,The face Haro named. A wiped-callsign ship brushed the civilian berth. Report to Gate Patrol first.
sqa_001_c,obj_story_001_c,travel,아르카디아|중간보고|엘렌,1,중간보고는 엘렌 창구야. 솔라에서 들은 얼굴을 먼저 올려야 기록이 열려.,The progress report is Ellen's window. File the Solar face first or the log stays shut.
sqa_001_d,obj_story_001_d,npc_cpt_arcadia_lane_01,엘렌|벤트|도킹,1,엘렌이 말한 진짜 증거는 솔라 항만사령부야. 벤트가 도킹 기록을 쥐고 있어.,The real proof Ellen named is Solar Harbor Command. Bent holds the docking log.
sqa_001_e,obj_story_001_e,npc_cpt_solar_guard_01,벤트|도킹 기록|출항,1,벤트가 넘긴 사본 말이야. 들어온 기록만 있고 나간 칸이 비어 있어. 그 빈칸이 다음 줄기야.,The copy Bent handed you. Arrival is logged. Departure is blank. That blank is the next stem.
sqa_002_a,obj_story_002_a,travel,미네르바|밀수조,1,빈 출항은 미네르바 밀수조로 이어져. 솔라를 거쳐 간 배가 거기 있어.,The blank departure runs to Minerva's smuggling cell. The ship that passed Solar is there.
sqa_002_b,obj_story_002_b,npc_cpt_bar_ret_02,미아|밀수|술집,1,미아 쪽에서 흘러나온 밀수조 단서야. 술자리 말로만 두고 파일로 올리면 입이 닫혀.,Mia's smuggling lead. Keep it in bar talk. File it and the mouth shuts.
sqa_002_c,obj_story_002_c,combat,호위|해적|격파,1,밀수조 앞 호위는 길을 막는 배야. 쓰러뜨리면 하수인 칸이 열려.,The escort in front of the cell is a gate. Drop it and the hired-hand cell opens.
sqa_002_d,obj_story_002_d,npc_cpt_story_noah_frick,노아|하수인|함장 내정,1,노아가 뱉은 말 기억해. 피해자는 국경 방어 함대 함장 내정자였어. 원한이나 빚이 아닌 자리야.,Keep what Noah said. The dead man was the border-defense captain-designate. Not a grudge. A post.
sqa_002_e,obj_story_002_e,npc_cpt_gov_minerva,니카|빈자리|출정,1,니카가 말한 빈 함장 자리. 출정은 그 빈자리에서 시작되고 너는 그 칸에 이름이 올라 있어.,The vacant chair Nica named. The sortie starts from that gap and your name is already on the cell.
sqa_003_a,obj_story_003_a,npc_cpt_story_ian_koval,코발|대행|출정,1,코발이 너를 대행으로 지명한 거야. 사건 기록에 이름이 있어서 베가 칸이 열린 거지.,Koval named you acting captain. Your name on the case file opened the Vega cell.
sqa_003_b,obj_story_003_b,npc_cpt_arcadia_lane_01,엘렌|대행 출정|지시,1,엘렌의 출정 지시는 명령이야. 여기서는 부탁이 아니라 관문 순찰대장 창구야.,Ellen's sortie order is a command. This window is Gate Patrol not a favor.
sqa_003_c,obj_story_003_c,travel,베가|전초|도착,1,베가 전초가 다음 칸이야. 대행 출정의 몸이 거기 서 있어.,Vega Outpost is the next cell. The body of the stand-in sortie stands there.
sqa_004_a,obj_story_004_a,combat,기습|전멸|함대,1,정찰보다 큰 기습이야. 살아남는 게 이 칸의 전부고 보고는 그다음이야.,The raid is larger than the scout. Survival is this cell. The report comes after.
sqa_004_b,obj_story_004_b,npc_cpt_vega_watch_01,하르만|생존|보고,1,하르만은 전멸 현장에서 긴 말을 안 해. 생존 보고만 올리고 아르카디아로 돌아가.,Harman will not add a long line on a wipe site. File survival and go back to Arcadia.
sqa_004_c,obj_story_004_c,travel,아르카디아|귀환,1,귀환은 도망이 아니야. 코발이 다음 이름을 꺼내려고 너를 기다리는 칸이야.,Return is not flight. Koval is waiting to speak the next name.
sqa_005_a,obj_story_005_a,npc_cpt_story_ian_koval,코발|다렐|복수,1,코발이 꺼낸 옛 동료는 다렐 소사야. 복수는 누가 하냐고 묻더니 드라코 좌표를 줬어.,The old comrade Koval named is Darell Sosa. He asked who takes revenge then gave a Draco fix.
sqa_005_b,obj_story_005_b,travel,드라코|성운|헤이븐,1,드라코 헤이븐이 그 좌표야. 신호는 요새 포격전 한가운데서 잡히기 시작해.,Draco Haven is that fix. The signal starts in the middle of the fortress barrage.
sqa_006_a,obj_story_006_a,combat,호위|포격|신호,1,호위 한 척을 먼저 걷어내야 신호가 또렷해져. 세레나가 그다음을 열어 줄 거야.,Clear one escort first and the signal sharpens. Serena opens the next cell.
sqa_006_b,obj_story_006_b,npc_cpt_draco_obs_01,세레나|주파수|데드코러스,1,세레나가 잡은 건 크림슨 총수 주파수가 아니야. 주인은 기함 데드코러스 쪽이야.,What Serena caught is not the Crimson warlord's band. The owner sits the Dead Chorus.
sqa_006_c,obj_story_006_c,npc_cpt_story_darel_sosa,다렐|기함|대면,1,기함에 사람이 타고 있어. 코발이 버린 그 이름이 여기서 얼굴을 열어.,Someone is aboard the flagship. The name Koval left opens a face here.
sqa_034_a,obj_s034_a,travel,캠프|게이트|왜곡,1,캠프 게이트가 왜곡 구역 입구야. 오렌이 지워진 식별 신호를 그쪽에서 잡았어.,Camp Gate is the warp-zone mouth. Orren caught the wiped callsign there.
sqa_034_b,obj_s034_b,npc_cpt_sq_veil_hook,베일|입구|식별 신호,1,베일이 말한 입구 말이야. 들어온 배엔 식별 신호가 없었고 길은 한 줄뿐이래.,The mouth Veil named. Incoming ships had no callsign. Only one line in.
sqa_034_c,obj_s034_c,npc_cpt_sq_veil_hook,베일|순찰|주기,1,베일은 순찰 주기만 재고 있어. 출구를 먼저 건드리면 호위가 떠.,Veil is only timing the patrol cycle. Touch the exit first and the escort lifts.
