key,value,notesKo
gravity_floor,0.06,번화하지 않은 행성의 최저 중력
gravity_pop_w,0.30,인구(P) 기여
gravity_res_w,0.16,자원(R) 기여 — 내수 규모
gravity_credits_w,0.14,구역 targetCredits 정규화
gravity_trade_w,0.16,무역소
gravity_shipyard_w,0.06,조선소
gravity_bar_w,0.05,바
gravity_fee_w,0.09,당일 수수료 원장(실거래 활력)
gravity_safe_zone_bonus,0.10,safe 성계 가산
gravity_pvp_zone_pen,0.20,pvp/endgame 감점
frontier_phase0_gravity,0.02,미정착 바닥
frontier_phase1_gravity,0.07,막 개방 개척 전초
frontier_phase0_cap,0,미개방·phase0 논리 상한
frontier_phase1_cap,2,phase1 논리 상한(개척/측량만)
cap_min,1,정착 행성 최저 논리 상한
cap_max,12,번화 행성 논리 상한(허브 표시 8과 분리)
daily_stat_cap,2,시민 패스 지표당 일일 |Δ| 상한
consideration_ratio,0.62,최고점 대비 고려 집합
depart_score,0.08,이하면 이탈(합법 후보 없을 때)
hysteresis_ratio,0.85,직전 epoch 체류 유지 문턱
home_bias,0.18,거점 행성 가산
activity_bias,0.08,활동 행성 가산
crowding_exp,2,혼잡 페널티 지수
score_power,1.4,고려 집합 가중 추첨 지수
civic_acc_per_wall_sec,0.010,역할-시간 누적 스케일(수송 0.014과 축 분리)
credits_norm_ref,80000,targetCredits 1.0 기준
fee_norm_ref,50000,수수료 gross 1.0 기준(log)
