id,missionId,sort,textKo,textEn
sqd_story_001,story_001,1,아르카디아 거주구에서 동기를 못 짚은 살인이 났어. 엘렌이 너한테 맡긴 사건이고 진짜 증거는 솔라 도킹 기록 쪽에 있어.,An unmotivated killing in Arcadia. Ellen handed it to you. The real proof sits in Solar docking logs.
sqd_story_002,story_002,1,출항 칸이 비어 있던 그 배는 미네르바 밀수조로 이어져. 하수인을 만나면 죽은 사람이 국경 함장 내정자였다는 쪽이 열려.,The blank departure leads to Minerva's smuggling cell. The hired hand opens that the dead man was the border captain-designate.
sqd_story_003,story_003,1,함장 자리가 빈 채로 출정이 와. 사건 기록에 네 이름이 올라서 대행으로 베가에 가게 된 거야.,The captain's chair is empty and the sortie is due. Your name is on the file so they send you to Vega as acting captain.
sqd_story_004,story_004,1,베가 국경 기습은 정찰 보고를 한참 넘었어. 살아 돌아온 건 너뿐이고 그다음 말은 아르카디아에서 듣게 돼.,The Vega raid dwarfed the scout report. You are the only one back. The next words wait on Arcadia.
sqd_story_005,story_005,1,코발이 전멸 경위를 묻더니 예전에 버린 동료 이야기를 꺼냈어. 좌표는 드라코고 이름은 다렐 소사야.,Koval asked about the wipe then named a comrade he once left. The fix is Draco. The name is Darell Sosa.
sqd_story_006,story_006,1,드라코에서 잡힌 신호는 크림슨 총수 주파수가 아니야. 기함 쪽 주인은 코발이 버렸던 그 사람이야.,The Draco signal is not the Crimson warlord's band. The flagship belongs to the comrade Koval abandoned.
sqd_sandbox_034,sandbox_034,1,요새 오렌이 포착한 지워진 식별 신호는 솔라에서 기록을 지운 버릇이랑 같아. 같은 자가 캠프 왜곡 구역까지 온 거야.,Orren's wiped callsign matches the Solar habit of erasing a log. The same hand reached the camp warp zone.
sqd_sandbox_035,sandbox_035,1,아우라 장부에서 물자가 새고 배는 아군 신호를 달고 있었어. 켓이 대조하면 가면이 벗겨질 거야.,Aura's ledger is leaking and the ship wears a friendly stamp. Kett's match will drop the mask.
sqd_sandbox_036,sandbox_036,1,코어 항로 장부 세 줄엔 금액만 있고 보낸 자가 없어. 수수료는 이미 누군가 챙겼고 끝은 캠프 쪽 계좌야.,Three Core Route lines have sums but no sender. The fee is already gone. The trail ends on a camp account.
sqd_sandbox_037,sandbox_037,1,항로에 남은 상자는 크림슨이 손댄 물건이고 요새 호위대 주파수가 아니야. 사본 경로는 캠프로 이어져.,The leftover crate is Crimson-touched and not a fortress-escort band. The copy's path continues toward Camp.
sqd_sandbox_038,sandbox_038,1,오늘은 출정도 수사도 없는 날이야. 아우라 관문에서 하루를 접는 자리니까 줄기를 억지로 밀지 마.,No sortie and no case today. This is a day to close at the Aura gate. Do not force the stem.
