key,value,notesKo
cost_efficiency_tech_weight_per_point,0.004,T 스탯 1pt당 업그레이드·설치 비용 0.4%p 할인
cost_efficiency_aggregate_weight_per_level,0.12,설치 시설 레벨 합 1당 0.12%p 할인
cost_efficiency_discount_cap_pct,25,비용 효율(할인) 총 상한 %
level_up_stat_nudge_daily_fraction,0,레벨업 즉시 nudge 비율 — v2.0 §1-2 배치 전용(0=일 1회 runFacilityStatNudgePass만)
tdi_pgp_bmu_per_point,80,TDI 1점당 PGP BMU 가산(일일 배치)
upkeep_efficiency_tech_weight_per_point,0.003,T 1pt당 개발 유지비 0.3%p 절감
upkeep_efficiency_aggregate_weight_per_level,0.08,시설 레벨 합 1당 유지비 0.08%p 절감
upkeep_efficiency_discount_cap_pct,15,유지비 효율(절감) 상한 %
planet_dev_credit_curve_version,v2.0.2,play_scenario 정합 tier 곡선 — tools/balance-tables/generate-planet-dev-cost-curve.mjs
planet_dev_credit_l1_anchor_trade_cr,500,시작자금 500 Cr · 무역소 Lv1 어드밴티지
planet_dev_credit_tier_mult_l2_l3,0.018,zone3~5 밴드 (5k~20k)
planet_dev_credit_tier_mult_l4_l5,0.032,중반 진입 싱크
planet_dev_credit_tier_mult_l6_l7,0.055,zone9 전후 (150k)
planet_dev_credit_tier_mult_l8_l10,0.14,후반·엔드 인플레이션 싱크 (L8-L9=0.09)
