attendantId,planetId,displayNameKo,displayNameEn,taglineKo,taglineEn,portraitImageAssetKey,minBarLevel,rosterWeight,dialogSetId,animSetId,songId,enabled
ta_att_001,arcadia_prime,미라,Mira,밝은 미소의 오케스트라 바텐더,Bright-smiled orchestra bartender,assets/images/npc/bar_att_char006.png,1,15,dset_star,aset_soft,song_01,1
ta_att_002,arcadia_prime,레나,Lena,느긋한 재즈 톤의 안내원,Laid-back jazz-toned hostess,assets/images/npc/bar_att_char007.png,1,15,dset_ballroom,aset_soft,song_02,1
ta_att_003,solar_station,소라,Sora,별빛 노래가 특기인 종업원,Attendant known for starlight songs,assets/images/npc/bar_att_char008.png,1,15,dset_cheerful,aset_soft,song_03,1
ta_att_004,solar_station,유나,Yuna,차분한 포스포 조명 아래의 파트너,Calm partner under phosphor lights,assets/images/npc/bar_att_char009.png,1,15,dset_jazz,aset_soft,song_04,1
ta_att_005,minerva_deep,루나,Luna,고음이 아름다운 합창 파트너,Chorus partner with a clear high note,assets/images/npc/bar_att_char014.png,1,14,dset_star,aset_soft,song_05,1
ta_att_006,vega_base,키라,Kira,빠른 스텝의 무도회 안내,Quick-step ballroom guide,assets/images/npc/bar_att_char010.png,1,14,dset_star,aset_soft,song_01,1
ta_att_007,vega_base,노바,Nova,항로 이야기를 좋아하는 동료,Colleague who loves system-route tales,assets/images/npc/bar_att_char011.png,1,14,dset_ballroom,aset_soft,song_02,1
ta_att_008,eden_city,아이리스,Iris,은밀한 소문을 속삭이는 안내원,Guide who whispers soft rumors,assets/images/npc/bar_att_char012.png,1,15,dset_whisper,aset_soft,song_03,1
ta_att_009,eden_city,베가,Vega,달빛 리듬의 댄스 메이트,Dance mate of moonlight rhythm,assets/images/npc/bar_att_char013.png,1,15,dset_jazz,aset_soft,song_04,1
ta_att_010,iron_remnant,아리아,Aria,깃털처럼 가벼운 스텝,Feather-light steps,assets/images/npc/bar_att_char015.png,1,12,dset_ballroom,aset_soft,song_05,1
ta_att_011,draco_haven,플룸,Plume,낮은 톤의 밤 이야기꾼,Low-voiced night storyteller,assets/images/npc/bar_att_char016.png,1,13,dset_calm,aset_soft,song_01,1
ta_att_012,omega_hub,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,14,dset_ember,aset_soft,song_02,1
ta_att_013,sirius_border,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,13,dset_echo,aset_soft,song_03,1
ta_att_014,titan_ruins,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,13,dset_calm,aset_soft,song_04,1
ta_att_015,perseus_memorial,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,13,dset_cheerful,aset_soft,song_05,1
ta_att_016,crimson_base,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,12,dset_jazz,aset_soft,song_01,1
ta_att_017,dark_haven,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,12,dset_star,aset_soft,song_02,1
ta_att_018,blood_station,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_03,1
ta_att_019,shadow_market,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,12,dset_whisper,aset_soft,song_04,1
ta_att_020,abyss_gate,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,12,dset_echo,aset_soft,song_05,1
ta_att_021,core_prime,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,14,dset_ember,aset_soft,song_01,1
ta_att_022,genesis_origin,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,14,dset_echo,aset_soft,song_02,1
ta_att_023,synth_001_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_03,1
ta_att_024,synth_002_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_04,1
ta_att_025,synth_003_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_05,1
ta_att_026,synth_004_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_01,1
ta_att_027,synth_005_p,루미,Lumi,번영 허브의 리드 퍼포머,Lead performer of a prosperous hub,,1,11,dset_ballroom,aset_soft,song_02,1
ta_att_028,synth_006_p,카일라,Kayla,항로 교차점의 마스터 호스트,Master host at the crossroads,,1,11,dset_whisper,aset_soft,song_03,1
ta_att_029,synth_007_p,세레,Sere,코어 살롱의 시그니처 파트너,Signature partner of the core lounge,,1,11,dset_echo,aset_soft,song_04,1
ta_att_030,synth_008_p,세이블,Sable,불꽃 같은 응원 박수,Cheers like sparks,,1,11,dset_ember,aset_soft,song_05,1
ta_att_031,synth_009_p,신더,Cinder,보석처럼 반짝이는 눈인사,Greeting that sparkles like gems,,1,11,dset_echo,aset_soft,song_01,1
ta_att_032,synth_010_p,오팔,Opal,메아리처럼 이어지는 화음,Harmony that echoes on,,1,11,dset_calm,aset_soft,song_02,1
ta_att_033,synth_011_p,에코,Echo,새벽 항로를 여는 목소리,Voice that opens the dawn lane,,1,11,dset_cheerful,aset_soft,song_03,1
ta_att_034,synth_012_p,니온,Neon,네온 잔에 기대는 파트너,Partner leaning on a neon glass,,1,11,dset_jazz,aset_soft,song_04,1
ta_att_035,synth_013_p,제이드,Jade,수도 살롱의 상급 안내,Senior host of the capital salon,,1,11,dset_star,aset_soft,song_05,1
