turnId,dialogSetId,bundleTier,sortOrder,speechAct,nlTopicId,delivery,speakerRole,textKo,textEn
host_greet_01,dset_host,0,10,host_greet,bar.host.greet,scripted,host,어서 오게. 먼 항로를 달려왔군.,Welcome. You've come a long way through the lanes.
host_ask_01,dset_host,0,20,host_ask_drink,bar.host.ask_drink,nl_preferred,host,한잔 사 주시겠나? 우리 아이들도 손님을 기다리고 있어.,Buy a round? Our attendants are waiting for a guest.
host_decline_01,dset_host,0,30,host_decline_ack,bar.host.decline,scripted,host,알겠네. 공지판이랑 의뢰는 언제든 보게.,Understood. The board and jobs are always here.
cheerful_t1_01,dset_cheerful,1,10,attendant_hello,bar.attendant.hello,nl_preferred,attendant,안녕하세요. 오늘 밤은 천천히 가볼까요?,Hi. Shall we take tonight slow?
cheerful_t1_02,dset_cheerful,1,20,attendant_thanks_drink,bar.attendant.thanks_drink,nl_preferred,attendant,고마워요. 이 한잔으로 잠시 별을 잊게 해드릴게요.,Thank you. This drink will help you forget the stars for a bit.
cheerful_t1_03,dset_cheerful,1,30,attendant_banter,bar.attendant.banter,nl_preferred,attendant,항로 이야기는 나중에… 지금은 음악만 들어요.,Lane stories later — for now just the music.
cheerful_t2_01,dset_cheerful,2,10,attendant_banter,bar.attendant.story,nl_preferred,attendant,사실 저는 오케스트라 연습실 출신이에요. 여기가 더 따뜻하더라고요.,I used to train in an orchestra room. This place feels warmer.
cheerful_t2_02,dset_cheerful,2,20,attendant_dance_cue,bar.attendant.dance,scripted,attendant,자 한 박자만 맞춰 볼까요?,Come — just one beat with me.
calm_t1_01,dset_calm,1,10,attendant_hello,bar.attendant.hello,nl_preferred,attendant,포스포 불빛 아래에서 쉬어 가세요.,Rest under the phosphor glow.
calm_t1_02,dset_calm,1,20,attendant_thanks_drink,bar.attendant.thanks_drink,nl_preferred,attendant,잔이 따뜻해질 때까지 말없이 있어도 돼요.,You can stay quiet until the glass warms.
calm_t1_03,dset_calm,1,30,attendant_banter,bar.attendant.banter,nl_preferred,attendant,소란은 바깥에 두고 오세요.,Leave the noise outside.
calm_t2_01,dset_calm,2,10,attendant_banter,bar.attendant.story,nl_preferred,attendant,조용한 밤이 제일 비싼 서비스예요.,A quiet night is the dearest service.
calm_t2_02,dset_calm,2,20,attendant_dance_cue,bar.attendant.dance,scripted,attendant,호흡만 맞춰도 춤이 돼요.,Matching breath is already a dance.
jazz_t1_01,dset_jazz,1,10,attendant_hello,bar.attendant.hello,nl_preferred,attendant,자리 비워 뒀어요.,I saved you a seat.
jazz_t1_02,dset_jazz,1,20,attendant_thanks_drink,bar.attendant.thanks_drink,nl_preferred,attendant,천천히 들이켜요. 재즈는 서두르지 않으니까.,Sip slow. Jazz never hurries.
jazz_t1_03,dset_jazz,1,30,attendant_banter,bar.attendant.banter,nl_preferred,attendant,손님 함선… 엔진음이 조금 피곤해 보였어요.,Your ship's engines sounded a little tired.
jazz_t2_01,dset_jazz,2,10,attendant_banter,bar.attendant.story,nl_preferred,attendant,이 바은 늦은 밤에 더 솔직해져요.,This bar grows honest after midnight.
