systemId,systemName,systemPosX,systemPosY,systemZone,systemConnectionsPipe,systemEnemyLevel,systemDescription,id,name,description,hasTradePort,hasShipyard,hasTavern,tradeGoodsPipe,factionId,coreResource,corePopulation,coreDefense,coreTechnology,coreEnvironment,backdropImageAssetKey,infoPanelPortraitAssetKey,mainStageSkiaNebulaLayer,mainStageBackdropImageLayer,systemNameEn,systemDescriptionEn,nameEn,descriptionEn
arcadia,아르카디아,0.22,0.72,safe,solar_port|vega_outpost,1,아크파이어 은하의 관문. 신규 파일럿들의 시작점.,arcadia_prime,아르카디아 프라임,[국가: 스텔리움 연합] 광활한 초원이 펼쳐진 평화로운 행성.,true,true,true,,federation,50,54,42,44,58,,assets/images/planet/pip_001.png,,,Arcadia,Gateway of the Arcfire galaxy. Starting point for new pilots.,Arcadia Prime,[Nation: Stellium Alliance] A peaceful planet of vast grasslands.
solar_port,솔라 항구,0.35,0.60,safe,arcadia|minerva|new_eden,2,은하 최대의 무역 허브. 항상 북적이는 항구 도시.,solar_station,솔라 항구 스테이션,[국가: 스텔리움 연합] 거대한 우주 정거장이 행성을 대신한다.,true,true,true,,federation,50,56,44,50,46,,,,,Solar Port,The galaxy's largest trade hub. A bustling port city.,Solar Port Station,[Nation: Stellium Alliance] A massive space station in place of a planet.
minerva,미네르바,0.20,0.45,safe,solar_port|iron_cross,3,광업의 중심지. 풍부한 광물 자원으로 유명.,minerva_deep,미네르바 딥,[국가: 스텔리움 연합] 지하 광산이 행성 전체를 뒤덮고 있다.,true,false,true,,miners_guild,52,44,48,46,38,,,,,Minerva,Mining center. Famous for rich mineral resources.,Minerva Deep,[Nation: Stellium Alliance] Underground mines cover the entire planet.
vega_outpost,베가 전초기지,0.42,0.78,safe,arcadia|new_eden|draco_nebula,3,연방의 군사 전초기지. 훈련된 파일럿들이 모인다.,vega_base,베가 전초기지 베이스,[국가: 스텔리움 연합] 군사 기지를 중심으로 형성된 도시.,false,true,true,,federation_military,36,46,55,48,42,,,,,Vega Outpost,Federation military outpost. Trained pilots gather here.,Vega Outpost Base,[Nation: Stellium Alliance] A city built around a military base.
new_eden,뉴에덴,0.52,0.62,neutral,solar_port|vega_outpost|iron_cross|omega_station,5,상업수도 성계. 은하 서부 무역 정치의 중심.,eden_city,뉴에덴 프라임,[국가: 스텔리움 연합] 수도 행성. 연합 의회와 대규모 무역 허브.,true,true,true,,independent,48,58,46,52,52,,,,,New Eden,Commercial capital system. Center of western galactic trade and politics.,New Eden Prime,[Nation: Stellium Alliance] Capital planet. Alliance parliament and major trade hub.
iron_cross,아이언 크로스,0.38,0.42,neutral,minerva|new_eden|helios|titan_gate,6,고대 전쟁의 흔적이 남아있는 성계.,iron_remnant,아이언 크로스 레므난트,[국가: 스텔리움 연합] 잔해 속에서 살아남은 자들의 정착지.,true,true,true,,scavengers,26,40,52,44,34,,,,,Iron Cross,A system scarred by an ancient war.,Iron Cross Remnant,[Nation: Stellium Alliance] A settlement of survivors among the wreckage.
draco_nebula,드라코 성운,0.62,0.82,neutral,vega_outpost|omega_station|perseus,7,짙은 성운 안에 숨겨진 신비로운 성계.,draco_haven,드라코 성운 헤이븐,[국가: 스텔리움 연합] 성운의 에너지를 이용한 특수 연구소.,true,false,true,,scientists,36,46,42,54,50,,,,,Draco Nebula,A mysterious system hidden inside a dense nebula.,Draco Nebula Haven,[Nation: Stellium Alliance] A special research facility powered by nebula energy.
omega_station,오메가 스테이션,0.65,0.55,neutral,new_eden|draco_nebula|helios|titan_gate,8,은하의 중간지점. 모든 항로가 교차한다.,omega_hub,오메가 스테이션 허브,[국가: 스텔리움 연합] 대형 우주 정거장. 24시간 운영.,true,true,true,,independent,48,54,46,50,44,,,,,Omega Station,Midpoint of the galaxy. All routes cross here.,Omega Station Hub,[Nation: Stellium Alliance] A large space station operating around the clock.
helios,헬리오스,0.50,0.35,neutral,iron_cross|omega_station|titan_gate|perseus,9,항성 에너지 수집 시설이 있는 성계.,helios_core,헬리오스 코어,태양에너지 배터리 생산의 중심지.,true,false,false,,energy_corp,50,44,42,56,48,,,,,Helios,A system with stellar energy collection facilities.,Helios Core,Center of solar battery production.
sirius,시리우스,0.75,0.70,neutral,draco_nebula|perseus|crimson_zone,10,중립과 PvP 구역의 경계. 위험이 가까워진다.,sirius_border,시리우스 보더,[국가: 크림슨 레기온] 변경 지대의 마지막 안전한 정착지.,true,true,true,,border_watch,38,44,50,46,42,,,,,Sirius,Border between neutral and PvP zones. Danger draws near.,Sirius Border,[Nation: Crimson Legion] The last safe settlement on the frontier.
