displayNameKo,displayNameEn,textKo,textEn,note
미라,Mira,오케스트라가 켜지기 전에 먼저 웃어 드릴게요.,I'll smile first before the orchestra starts.,orchestra_bartender
레나,Lena,서두르지 말아요. 재즈는 천천히 따라와요.,Don't rush. Jazz follows slowly.,jazz_hostess
소라,Sora,별빛 노래 오늘 첫 손님은 당신이에요.,Starlight song — you're my first guest tonight.,starlight_song
유나,Yuna,포스포 불빛 아래에서는 말수가 없어도 괜찮아요.,Under the phosphor lights silence is fine.,phosphor_calm
키라,Kira,스텝은 빠르게 인사는 짧게 할게요.,Quick steps and a short greeting.,ballroom_quick
노바,Nova,어느 항로로 오셨어요? 이야기부터 들을게요.,Which lane brought you? I'll hear that first.,route_tales
아이리스,Iris,가까이 앉아요. 오늘은 소문 하나만 전할게요.,Sit closer. I'll pass along just one rumor tonight.,soft_rumor
베가,Vega,달빛 리듬이 맞으면 손부터 내밀어요.,When the moonlight rhythm hits offer your hand.,moonlight_dance
루나,Luna,고음은 제가 올릴게요. 당신은 숨만 맞춰 줘요.,I'll take the high note. Just match the breath.,chorus_high
아리아,Aria,깃털처럼 가볍게 한 바퀴만 돌고 올까요?,Light as a feather — one turn around the floor?,feather_step
플룸,Plume,밤은 낮게 말해야 더 잘 들려요.,Night talk carries better when it's low.,night_story
세이블,Sable,들어올 때부터 박수가 먼저 나왔어요.,The applause started the moment you walked in.,spark_cheer
신더,Cinder,눈인사만으로도 자리가 반짝여요.,Even an eye greeting makes the seat sparkle.,gem_glance
오팔,Opal,한 소절이 메아리처럼 남을 때까지 기다릴게요.,I'll wait until one phrase echoes back.,echo_harmony
에코,Echo,새벽 항로를 여는 목소리 지금 켜둘게요.,The voice that opens the dawn lane — I'll switch it on now.,dawn_voice
니온,Neon,네온 잔에 기대면 이야기는 천천히 흘러요.,Lean on the neon glass. The story will drift slowly.,neon_glass
제이드,Jade,수도 살롱에선 상석부터 비워 둬요.,In the capital salon I keep the best seat empty first.,capital_host
루미,Lumi,오늘 리드 공연 첫 소절은 당신 자리로 보낼게요.,Tonight's lead set — the first phrase is for your table.,hub_lead
카일라,Kayla,교차점에 온 손님이면 제가 자리를 정해 드릴게요.,If you came from the crossroads I'll choose your seat.,crossroads_host
세레,Sere,코어 살롱의 시그니처 오늘 파트너는 저예요.,Signature of the core lounge — I'm your partner tonight.,core_signature
