id,title,description,type,offerCaptainId,offerPlanetId,levelRequired,rewardCredits,rewardExp,rewardItemsPipe,rewardSkillPointBonus,prerequisiteIdsPipe,nextMissionId,dc,clearDialogSceneId,clearNpcCaptainId,requiresClearContact,title_en,description_en,timeLimitHours
mission_001,첫 비행,연방 사령부가 내린 첫 임무다. 베가 전초기지로 이동해 지휘관을 만나라.,travel,,,1,500,150,,0,,mission_002,0,mission_clear_mission_001,,1,First Flight,"Captain, a Federation order: travel to Vega Outpost and meet the commander.",0
mission_002,해적 소탕,아르카디아 주변의 해적선 1척을 격파하고 돌아오라.,combat,,,1,1000,300,,1,mission_001,mission_003,12,mission_clear_mission_002,,,Pirate Sweep,Destroy 1 pirate near Arcadia and return.,0
mission_003,무역 루트 개척,솔라 항구에서 식량 팩 10개를 구매해 미네르바로 운반하라.,delivery,,,2,1500,400,,0,mission_002,mission_004,10,mission_clear_mission_003,,,Open a Trade Route,Buy 10 food packs at Sola Port and deliver them to Minerva.,0
mission_004,중립 지대 탐험,중립 구역의 뉴 에덴으로 이동해 현지 상황을 파악하라.,explore,,,3,2000,600,,1,mission_003,mission_005,14,,,,Neutral Zone Recon,Travel to New Eden in the neutral zone and assess the situation.,0
mission_005,은하의 심장을 향해,오메가 스테이션으로 이동해 아크파이어 코어의 단서를 확보하라.,explore,,,5,5000,1000,,2,mission_004,,16,,,,Toward the Heart of the Galaxy,Travel to Omega Station and secure a clue to the Arcfire Core.,0
story_001,동기가 확인되지 않는 살인사건,"아르카디아 거주구에서 동기를 알 수 없는 살인 사건이 일어났다. 솔라 항구로 가 술집에서 목격자를 탐문하고, 관문 순찰대에 중간보고한 뒤 항만사령부에서 도킹 기록을 확보한다.",explore,npc_cpt_arcadia_lane_01,arcadia_prime,1,2000,400,,0,,,12,,,,Unmotivated Murder Case,"An unmotivated murder occurred in the Arcadia habitat. Arrive at Solar Port, interview at the bar, report back, then secure the docking-log evidence.",0
story_002,동기 없는 진실,"비어 있는 출항 기록을 쫓아 미네르바 밀수조에 닿는다. 하수인 노아 프릭을 심문하면, 피해자가 국경 방어 함대의 함장 내정자였다는 사실이 드러난다.",explore,npc_cpt_arcadia_lane_01,arcadia_prime,1,2400,500,,0,story_001,story_003,12,,,,The Motive-less Truth,Follow Bent's empty departure to Minerva. Interrogating the hired hand reveals the victim was the border-defense captain.,0
story_003,대행 출정,살해된 함장의 자리가 빈 채 출정이 다가온다. 사건 기록에 이름이 오른 당신이 함장 대행으로 지명되어 베가 전초 국경에 투입된다.,explore,npc_cpt_story_ian_koval,arcadia_prime,1,2200,450,,0,story_002,story_004,12,,,,Stand-in Deployment,Command fills the vacant post. The player named in the case is sent to the Vega frontier as acting captain.,0
story_004,예상 밖의 참사,베가 전초 국경에서 정찰 보고를 훨씬 넘는 규모의 기습을 받는다. 아군 함대는 무너지고 살아남은 것은 당신 하나뿐이다. 아르카디아로 귀환한다.,combat,npc_cpt_vega_watch_01,vega_base,1,2800,600,,0,story_003,story_005,14,,,,Unforeseen Disaster,An overwhelming raid hits the Vega frontier. Only the player survives and returns to Arcadia.,0
story_005,복수는 누가 하는 겁니까?,"생환 직후 이안 코발이 전멸 경위를 묻는다. 그리고 오래전 자신이 버린 옛 동료 이야기를 꺼내며, 답 대신 드라코 성운의 좌표와 다렐 소사라는 이름을 건넨다.",explore,npc_cpt_story_ian_koval,arcadia_prime,1,2400,500,,0,story_004,story_006,12,,,,Who Takes Revenge?,"After the return, Ian Koval asks about the wipe and an old comrade—then gives Draco coordinates and Darell Sosa's name.",0
story_006,숨은 자와의 대면,"드라코 포격전에서 잡힌 낯선 신호를 쫓는다. 기함 데드코러스를 지휘하는 자는 크림슨 총수가 아니라, 코발이 버렸던 옛 동료 다렐 소사다.",combat,npc_cpt_draco_obs_01,draco_haven,1,3200,700,,0,story_005,,14,,,,Facing the Hidden One,The signal caught in the Draco barrage leads to a flagship commanded not by a warlord but by the comrade Koval abandoned.,0
sandbox_001,관문 흔적 추적,엘렌 드 코르가 아르카디아 관문 근처 해적 정찰기를 제거해 달라고 요청했다.,combat,npc_cpt_arcadia_lane_01,arcadia_prime,1,900,220,ore_mineral_1,0,,,10,,,,Gate Trail Hunt,Ellen de Cor asked you to eliminate a pirate scout near the Arcadia gate.,24
