,행성 지역,,추천 파일럿 Lv,숙련 계수 (효율),행성별 전투 횟수,소요 시간 (순수전투),지역 타깃 획득 크레딧,권장 전함 등급 (Hull Type),권장 무기 및 광물 업그레이드 단계,적함 주요 체급 (Affinity),성장 단계,목표 아이템,필요 Credits,요구 광물 수량 (30초당 1개 채굴),순수 채굴 시간 (인벤 20칸 배달 횟수),현상금 사냥 시간,유저의 심리적 피드백 및 기획 의도,타임라인 (예상),장소 (행성/지역),플레이 시나리오 (배경),미션 레벨,미션 제목,미션 유형,미션 내용 및 클리어 조건,,,,,,
,행성 1,아르카디아,Lv.1,1.01 (101%),3회,6분,"30,000",Frigate (기본 제공),T1 기본 레이저 (광물 0강),정찰해적선-α (Light),-,기본 채굴 1사이클(화물창 20칸 완판),"2,000",20개,12분(채굴 10분 + 물류 2분),-,"""한 보따리 가득 채워 파니까 2,000원이 딱 꽂히네.""→ 가장 기본적인 플레이 루프 인식",00:00~00:30,1. 아르카디아(Arcadia),"무명의 파일럿인 플레이어가 불시착한 행성에서 깨어나, 다가오는 해적의 위협을 피해 우주로 탈출하는 단계입니다.",Lv.1,깨어난 불시착자,튜토리얼,기본 이동 및 카메라 조작을 익히며 파괴된 함선 잔해 속에서 비상용 소형 정찰선을 찾아 가동하기,,,,,,
,,,Lv.1,깨어난 불시착자,튜토리얼,기본 이동 및 카메라 조작을 익히며 파괴된 함선 잔해 속에서 비상용 소형 정찰선을 찾아 가동하기,,,,,,,,,,,,,,,Lv.1,대기권 돌파 시스템 점검,시스템 학습,"정찰선의 HUD(인터페이스), 부스터, 워프 드라이브 게이지를 충전하며 이륙 준비 완료하기",,,,,,
,,,Lv.1,대기권 돌파 시스템 점검,시스템 학습,"정찰선의 HUD(인터페이스), 부스터, 워프 드라이브 게이지를 충전하며 이륙 준비 완료하기",,,,,,,,,,,,,,,Lv.2,아르카디아 탈출,탈출 임무,행성을 봉쇄하려는 소수의 해적 정찰기를 따돌리고 궤도 밖으로 빠르게 워프 시도하기,,,,,,
,,,Lv.2,위기 탈출,탈출 임무,행성을 봉쇄하려는 소수의 해적 정찰기를 따돌리고 아르카디아에 무사히 정착,,,,,,,,,,,,00:30~01:10,2. 베가 전초기지(Vega Outpost),"아르카디아를 탈출하자마자 도착한 곳으로, 이미 해적 연합의 대규모 습격을 받고 있어 연방군과 함께 첫 실전을 치릅니다.",Lv.2,전초기지의 SOS,전투 튜토리얼,"기본적인 무기 발사, 타겟팅, 실드 제어 시스템을 배우며 아군 기지를 공격하는 해적 선발대 격추하기",,,,,,
,행성 2,베가전초기지,Lv.3,1.03 (103%),5회,10분,"60,000",Frigate (기본형),T1 레이저 (광물 1강),정찰해적선-β (Light),,,,,,,,,,,Lv.3,베가 전면전,대규모 전투,연방 순양함들과 대형을 이루어 밀려오는 해적 주력 함대와 첫 대규모 우주 협동전 벌이기,,,,,,
,,,Lv.2,전초기지의 SOS,전투 튜토리얼,"기본적인 무기 발사, 타겟팅, 실드 제어 시스템을 배우며 아군 기지를 공격하는 해적 선발대 격추하기",,,,,,,,,,,,,,,Lv.4,부상병 수송선 호위,구조 / 호위,전투 중 피해를 입은 수송선이 안전하게 후퇴할 수 있도록 측면에서 기습하는 적 요격기 차단하기,,,,,,
,,,Lv.3,베가 전면전,대규모 전투,연방 순양함들과 대형을 이루어 밀려오는 해적 주력 함대와 첫 대규모 우주 협동전 벌이기,,,,,,,,,,,,01:10~01:50,3. 솔라 항구(Solar Port),"전투 공로로 보상금을 얻었으나 소형선으로는 한계가 있음을 절감하고, 물류 중심지에서 본격적인 전함을 마련하는 단계입니다.",Lv.4,신형 전함 계약,구매 임무,함선 정비소로 이동하여 베가 전투 보상금과 정부 지원금을 합쳐 본격적인 '정규 전함' 구입하기,,,,,,
,,,Lv.4,부상병 수송선 호위,구조 / 호위,전투 중 피해를 입은 수송선이 안전하게 후퇴할 수 있도록 측면에서 기습하는 적 요격기 차단하기,,,,,,,,,,,,,,,Lv.4,첫 번째 화물 운송,배송 임무,함선 구매 계약 조건으로 인근 민간 구역에 긴급 의료 물자를 배송하며 무역 및 적재 시스템 이해하기,,,,,,
,행성 3,솔라항구,Lv.5,1.05 (105%),7회,14분,"105,000",Frigate (기본형),T1 미사일 (광물 2강),소형약탈선 (Light),1단계(초반 정착),초급 무기 1개(기본 주포 등),"5,000",50개,30분(화물창 약 2.5회 완판),20분,"""어, 한두 판 보따리 장사 하니까 장비가 바뀌네?""→ 지루함 전 빠른 초반 도파민 분비",,,,Lv.5,성계 무역로 확보,순찰 / 소탕,솔라 항구 주변 무역로를 위협하는 우주 파편 및 소형 해적 잔당을 소탕하여 항로 안정성 확보하기,,,,,,
,,,Lv.4,신형 전함 계약,구매 임무,함선 정비소로 이동하여 베가 전투 보상금과 정부 지원금을 합쳐 본격적인 '정규 전함' 구입하기,,,,,,,,,,,,01:50~03:00,4. 미네르바(Minerva),드라코 성운의 결전을 앞두고 자원 행성 미네르바에서 광물을 채굴해 최고급 장비와 무기를 풀 세팅하는 경제 성장 단계입니다.,Lv.5,소행성대 채굴 레이저,채굴 튜토리얼,"함선에 채굴 레이저를 장착하고, 소행성 구역에서 고가치 광물(티타늄, 플래티넘 등)을 채굴하기",,,,,,
,,,Lv.4,첫 번째 화물 운송,배송 임무,함선 구매 계약 조건으로 인근 민간 구역에 긴급 의료 물자를 배송하며 무역 및 적재 시스템 이해하기,,,,,,,,,,,,,,,Lv.6,자원 밀수꾼 소탕,정리 임무,플레이어가 채굴한 고가 자원을 노리고 덤벼드는 광물 전문 약탈자 기습 부대를 격퇴하기,,,,,,
,,,Lv.5,성계 무역로 확보,순찰 / 소탕,솔라 항구 주변 무역로를 위협하는 우주 파편 및 소형 해적 잔당을 소탕하여 항로 안정성 확보하기,,,,,,,,,,,,,,,Lv.7,풀 세팅 완료,장비 업그레이드,"채굴한 자원을 전량 판매해 자금을 확보한 후, 스테이션에서 최고급 플라즈마 포와 강화 실드 구입·장착하기",,,,,,
,행성 4,미네르바,Lv.7,1.07 (107%),8회,16분,"160,000",Frigate 개량형 (구매),T1 레일건 (광물 3강),약탈해적선 (Light),,,,,,,,03:00~04:00,5. 드라코 성운(Draco Nebula),"뉴 에덴으로 가기 위한 유일한 통로이지만, 해적 총수와 반란군이 장악한 위험 구역에서 초반부 최종 결전을 치릅니다.",Lv.7,가시거리 제로,성운 돌파,"전자기 폭풍으로 레이더가 불능이 된 성운 내부를 수동 조종으로 돌파하며, 숨겨진 유도 기뢰 제거하기",,,,,,
,,,Lv.5,소행성대 채굴 레이저,채굴 튜토리얼,"함선에 채굴 레이저를 장착하고, 소행성 구역에서 고가치 광물(티타늄, 플래티넘 등)을 채굴하기",,,,,,,,,,,,,,,Lv.8,전면 포격전,대규모 전투,성운 중심부에서 연방 연합 함대와 합류하여 해적 연합의 거대 요새와 호위 함대를 상대로 일제 포격전 전개하기,,,,,,
,,,Lv.6,자원 밀수꾼 소탕,정리 임무,플레이어가 채굴한 고가 자원을 노리고 덤벼드는 광물 전문 약탈자 기습 부대를 격퇴하기,,,,,,,,,,,,,,,Lv.9,해적 총수 기함 격침,보스전 (최종),"초반부 최종 보스인 해적 총수의 거대 기함을 상대로, 풀 세팅한 무기를 총동원해 약점 부위를 파괴하고 격침시키기",,,,,,
,,,Lv.7,풀 세팅 완료,장비 업그레이드,"채굴한 자원을 전량 판매해 자금을 확보한 후, 스테이션에서 최고급 플라즈마 포와 강화 실드 구입·장착하기",,,,,,,,,,,,04:00~,6. 뉴 에덴(New Eden),"모든 시련을 이겨내고 인류의 새로운 개척지에 도달하여, 튜토리얼을 마치고 본격적인 자유 여정을 시작하는 단계입니다.",Lv.10,신세계의 문,도착 임무,"뉴 에덴의 거대 우주 정거장에 입항 허가를 받고, 개척 연맹의 환영을 받으며 안전하게 정박하기",,,,,,
,행성 5,드라코성운,Lv.9,1.12 (112%),12회,24분,"360,000",Frigate 개량형,T2 레이저 (무기 교체),울프급호위함 (Shielded),1.5단계(장비 풀세팅),초급 장비 세트(무기 슬롯 + 실드),"20,000",200개,2시간(화물창 10회 완판),1시간 20분,"""이 지역 전투나 채굴 속도가 눈에 띄게 빨라졌다.""→ 성장 체감 및 다음 지역 준비",,,,,,,,,,,,,
,,,Lv.7,가시거리 제로,성운 돌파,"전자기 폭풍으로 레이더가 불능이 된 성운 내부를 수동 조종으로 돌파하며, 숨겨진 유도 기뢰 제거하기",,,,,,,,,,,,,,,,,,,,,,,,
,,,Lv.8,전면 포격전,대규모 전투,성운 중심부에서 연방 연합 함대와 합류하여 해적 연합의 거대 요새와 호위 함대를 상대로 일제 포격전 전개하기,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lv.9,해적 총수 기함 격침,보스전 (최종),"초반부 최종 보스인 해적 총수의 거대 기함을 상대로, 풀 세팅한 무기를 총동원해 약점 부위를 파괴하고 격침시키기",,,,,,,,,,,,,,,,,,,,,,,,
,행성 6,뉴에덴,Lv.12,1.09 (109%),10회,20분,"250,000",Frigate 개량형,T1 플라즈마 (광물 5강 - Cap),대형약탈선 (Light),,,,,,,,,,,Lv.10,자유 파일럿 라이선스,튜토리얼 종료,"정식 마스터 라이선스를 발급받고 현상금 사냥, 무역업, 거대 길드전 등 향후 오픈월드 방향성 선택하기",,,,,,
,,,Lv.10,신세계의 문,도착 임무,"뉴 에덴의 거대 우주 정거장에 입항 허가를 받고, 개척 연맹의 환영을 받으며 안전하게 정박하기",,,,,,,,,,,,,,,,,,,,,,,,
,,,Lv.10,자유 파일럿 라이선스,튜토리얼 종료,"정식 마스터 라이선스를 발급받고 현상금 사냥, 무역업, 거대 길드전 등 향후 오픈월드 방향성 선택하기",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
