id,name,description,basePrice,priceVariance,volume,category,kind,type,tradeable,cargoHoldable,capitalShipMountable,nonRepurchase,tagsPipe,attrsJson,sellable
food,식량 팩,압축 보존 식량. 어디서든 팔린다.,42,18,1,food,trade_good,cargo_basic,true,true,false,false,,,
minerals,원자재 광물,채굴된 원석. 제련소에서 높은 가격에 팔린다.,95,32,2,mineral,trade_good,cargo_bulk,true,true,false,false,,,
ore_mineral_1,광물1,궤도 채굴로 채취한 원석.,10,28,1,mineral,raw_material,orbital_mining,true,true,false,false,orbital_mining,"{""miningCycleReward"":true}",
tech,기술 부품,정밀 전자 부품. 기술 행성에서 수요가 높다.,420,22,1,tech,trade_good,cargo_basic,true,true,false,false,,,
luxury,사치품,귀한 물건들. 부유한 행성에서 비싸게 팔린다.,1400,35,1,luxury,trade_good,cargo_basic,true,true,false,false,,,
weapon,무기류,소형 무기 및 탄약. 분쟁 지역에서 수요가 높다.,720,28,2,weapon,trade_good,cargo_bulk,true,true,false,false,,,
contraband,금지 물품,불법 거래 물품. 발각 시 위험하지만 수익이 크다.,3200,45,1,contraband,trade_good,cargo_special,true,true,false,false,,,
ore_ferrite,페라이트 광,제련·함체 골격의 기본.,10,25,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_ferrite"",""poolWeight"":1,""mineralIndex"":1}",
ore_silicate,실리케이트 광,유리·전자 부품 원료.,12,22,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_silicate"",""poolWeight"":0.85,""mineralIndex"":2}",
ore_crystal,에너지 결정,고출력 부품·무기 재료(희소).,52,40,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_crystal"",""poolWeight"":0.4,""mineralIndex"":6}",
ore_carbon,탄소질 광,탄소 나노·복합재 원료.,16,24,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_carbon"",""poolWeight"":0.75,""mineralIndex"":3}",
ore_nickel,니켈 광,합금·내열 부품 기본.,21,26,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_nickel"",""poolWeight"":0.7,""mineralIndex"":4}",
ore_titanium,티타늄 광,경량 함체·장갑 재료.,32,28,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_titanium"",""poolWeight"":0.55,""mineralIndex"":5}",
ore_platinum,백금 광,고급 전자·촉매 원료.,85,32,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_platinum"",""poolWeight"":0.32,""mineralIndex"":7}",
ore_orichalcum,오리하르콘 광,희귀 합금·엔드game 부품.,140,35,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_orichalcum"",""poolWeight"":0.24,""mineralIndex"":8}",
ore_neutronium,중성자 광,극한 밀도 구조재.,240,38,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_neutronium"",""poolWeight"":0.16,""mineralIndex"":9}",
ore_voidstone,공허석,후반 존 특수 에너지 결정.,420,42,1,mineral,raw_material,galactic_pool,true,true,false,false,galactic_mineral,"{""poolMineralId"":""ore_voidstone"",""poolWeight"":0.1,""mineralIndex"":10}",
ownership_arcadia_prime,아르카디아 프라임/소유권,행성 소유권 증서(재판매 불가).,1,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""arcadia_prime"",""noResale"":true}",
ownership_solar_station,솔라 스테이션/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""solar_station"",""noResale"":true}",
ownership_minerva_deep,미네르바 딥/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""minerva_deep"",""noResale"":true}",
ownership_vega_base,베가 베이스/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""vega_base"",""noResale"":true}",
ownership_eden_city,에덴 시티/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""eden_city"",""noResale"":true}",
ownership_iron_remnant,아이언 레므난트/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""iron_remnant"",""noResale"":true}",
ownership_draco_haven,드라코 헤이븐/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""draco_haven"",""noResale"":true}",
ownership_omega_hub,오메가 허브/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""omega_hub"",""noResale"":true}",
ownership_helios_core,헬리오스 코어/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""helios_core"",""noResale"":true}",
ownership_sirius_border,시리우스 보더/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""sirius_border"",""noResale"":true}",
ownership_titan_ruins,타이탄 유적/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""titan_ruins"",""noResale"":true}",
ownership_perseus_memorial,페르세우스 메모리얼/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""perseus_memorial"",""noResale"":true}",
ownership_crimson_base,크림슨 베이스/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""crimson_base"",""noResale"":true}",
ownership_dark_haven,다크 헤이븐/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""dark_haven"",""noResale"":true}",
ownership_blood_station,블러드 스테이션/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""blood_station"",""noResale"":true}",
ownership_shadow_market,섀도우 마켓/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""shadow_market"",""noResale"":true}",
ownership_abyss_gate,어비스 게이트/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""abyss_gate"",""noResale"":true}",
ownership_nightfall_citadel,나이트폴 시타델/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""nightfall_citadel"",""noResale"":true}",
ownership_core_prime,코어 프라임/소유권,행성 소유권 증서(재판매 불가).,12000,0,1,luxury,misc,planet_ownership,true,false,false,true,planet_ownership|no_resale,"{""planetId"":""core_prime"",""noResale"":true}",
